Metric,Training,Testing
MSE,0.9773088863308813,2.1536589648828466
RMSE,0.9885893416029131,1.4675349961356448
R²,0.9243403997571171,0.834257592679752
Relative Error,0.2522410318512008,0.3970240231735312
