paidparkingarea,hour_of_day,day_of_week,avg_occupancy_rate
Ballard Blocks,9,3,0.20400361336946704
Ballard Blocks,9,4,0.22097154471544714
Ballard Blocks,9,5,0.2979345076784101
Ballard Blocks,10,0,0.2626011743450768
Ballard Blocks,10,1,0.30579313459801266
Ballard Blocks,10,2,0.359875952242357
Ballard Blocks,10,3,0.24376784101174342
Ballard Blocks,10,4,0.3269065040650406
Ballard Blocks,10,5,0.43663279132791327
Ballard Blocks,11,0,0.35305194218608854
Ballard Blocks,11,1,0.27327913279132793
Ballard Blocks,11,2,0.28281098903064744
Ballard Blocks,11,3,0.20732565492321592
Ballard Blocks,11,4,0.3298504968383017
Ballard Blocks,11,5,0.3651287262872629
Ballard Blocks,12,0,0.30206368563685637
Ballard Blocks,12,1,0.3070117434507678
Ballard Blocks,12,2,0.3530408878012871
Ballard Blocks,12,3,0.2437168021680217
Ballard Blocks,12,4,0.40925429087624204
Ballard Blocks,12,5,0.3388563685636856
Ballard Blocks,13,0,0.3350975609756097
Ballard Blocks,13,1,0.27431933152664856
Ballard Blocks,13,2,0.3151505073927174
Ballard Blocks,13,3,0.29053071364046973
Ballard Blocks,13,4,0.3325365853658536
Ballard Blocks,13,5,0.1920709123757904
Ballard Blocks,14,0,0.2898346883468835
Ballard Blocks,14,1,0.3011341463414634
Ballard Blocks,14,2,0.2813301950301099
Ballard Blocks,14,3,0.3473884372177055
Ballard Blocks,14,4,0.22707362240289067
Ballard Blocks,14,5,0.20649725480850345
Ballard Blocks,15,0,0.2201345980126468
Ballard Blocks,15,1,0.30952710027100266
Ballard Blocks,15,2,0.25869993707598476
Ballard Blocks,15,3,0.301056007226739
Ballard Blocks,15,4,0.16654742547425475
Ballard Blocks,15,5,0.3407542908762421
Ballard Blocks,16,0,0.2699706413730804
Ballard Blocks,16,1,0.28182520325203253
Ballard Blocks,16,2,0.28121183642635644
Ballard Blocks,16,3,0.26509530261969283
Ballard Blocks,16,4,0.22495347786811204
Ballard Blocks,16,5,0.30629581784186805
Ballard Blocks,17,0,0.25851716350496834
Ballard Blocks,17,1,0.21227416440831073
Ballard Blocks,17,2,0.24588028103863221
Ballard Blocks,17,3,0.3266567299006324
Ballard Blocks,17,4,0.19043992773261065
Ballard Blocks,17,5,0.18665891421209296
Ballard Blocks,18,0,0.16887308039747065
Ballard Blocks,18,1,0.17381029810298104
Ballard Blocks,18,2,0.21915853658536585
Ballard Blocks,18,3,0.2215794941282746
Ballard Blocks,18,4,0.17603703703703705
Ballard Blocks,18,5,0.1120452337583485
Ballard Blocks,19,0,0.057041553748870814
Ballard Blocks,19,1,0.05457813911472448
Ballard Blocks,19,2,0.0913236507442133
Ballard Blocks,19,3,0.07497154471544715
Ballard Blocks,19,4,0.09248012646793133
Ballard Blocks,19,5,0.058279584462511295
Ballard Locks,8,0,0.03425925925925925
Ballard Locks,8,1,0.01583333333333333
Ballard Locks,8,2,0.02882121418054139
Ballard Locks,8,3,0.038425925925925926
Ballard Locks,8,4,0.01917438271604938
Ballard Locks,8,5,0.053780864197530864
Ballard Locks,9,0,0.08391203703703703
Ballard Locks,9,1,0.0662037037037037
Ballard Locks,9,2,0.08587051066217732
Ballard Locks,9,3,0.09155092592592591
Ballard Locks,9,4,0.10925925925925924
Ballard Locks,9,5,0.2142397989288308
Ballard Locks,10,0,0.22064043209876547
Ballard Locks,10,1,0.2363425925925926
Ballard Locks,10,2,0.21045524691358022
Ballard Locks,10,3,0.2760416666666666
Ballard Locks,10,4,0.27565586419753085
Ballard Locks,10,5,0.6115354938271604
Ballard Locks,11,0,0.4152391975308642
Ballard Locks,11,1,0.49370370370370364
Ballard Locks,11,2,0.4311263162672477
Ballard Locks,11,3,0.5157021604938271
Ballard Locks,11,4,0.5515817901234568
Ballard Locks,11,5,0.9601851851851851
Ballard Locks,12,0,0.5756172839506172
Ballard Locks,12,1,0.5856944444444443
Ballard Locks,12,2,0.5334104938271604
Ballard Locks,12,3,0.6425925925925925
Ballard Locks,12,4,0.6892361111111112
Ballard Locks,12,5,0.9976851851851851
Ballard Locks,13,0,0.6933256172839505
Ballard Locks,13,1,0.5917129629629629
Ballard Locks,13,2,0.5641975308641975
Ballard Locks,13,3,0.6139274691358024
Ballard Locks,13,4,0.7784336419753086
Ballard Locks,13,5,0.9997685185185184
Ballard Locks,14,0,0.7008873456790123
Ballard Locks,14,1,0.5275
Ballard Locks,14,2,0.6436989745121465
Ballard Locks,14,3,0.6702932098765432
Ballard Locks,14,4,0.8606867283950618
Ballard Locks,14,5,1.0
Ballard Locks,15,0,0.487037037037037
Ballard Locks,15,1,0.5037962962962963
Ballard Locks,15,2,0.6212191358024691
Ballard Locks,15,3,0.5918209876543209
Ballard Locks,15,4,0.7751543209876544
Ballard Locks,15,5,0.9782407407407407
Ballard Locks,16,0,0.3563271604938272
Ballard Locks,16,1,0.3794444444444444
Ballard Locks,16,2,0.5585262345679012
Ballard Locks,16,3,0.43638117283950617
Ballard Locks,16,4,0.6732253086419752
Ballard Locks,16,5,1.0
Ballard Locks,17,0,0.24814814814814812
Ballard Locks,17,1,0.30337962962962967
Ballard Locks,17,2,0.4750123881526786
Ballard Locks,17,3,0.3474537037037037
Ballard Locks,17,4,0.49101080246913575
Ballard Locks,17,5,0.964275956284153
Ballard Locks,18,0,0.20501543209876547
Ballard Locks,18,1,0.25805555555555554
Ballard Locks,18,2,0.4897966594045025
Ballard Locks,18,3,0.3161265432098765
Ballard Locks,18,4,0.4243827160493827
Ballard Locks,18,5,0.7826003086419752
Ballard Locks,19,0,0.17646604938271604
Ballard Locks,19,1,0.2709259259259259
Ballard Locks,19,2,0.4952461192810458
Ballard Locks,19,3,0.3165123456790123
Ballard Locks,19,4,0.4231095679012345
Ballard Locks,19,5,0.4611111111111111
Belltown,8,0,0.17701011704115108
Belltown,8,1,0.16845125119239526
Belltown,8,2,0.1795972282905435
Belltown,8,3,0.18674870487698497
Belltown,8,4,0.17947447657621143
Belltown,8,5,0.13878662114405382
Belltown,9,0,0.2740321643239939
Belltown,9,1,0.27840846622078996
Belltown,9,2,0.29007513770056687
Belltown,9,3,0.295376647662308
Belltown,9,4,0.2723173538729438
Belltown,9,5,0.2634526058349523
Belltown,10,0,0.35591980924153616
Belltown,10,1,0.3783861501713185
Belltown,10,2,0.3857700245882038
Belltown,10,3,0.3930200228270875
Belltown,10,4,0.3675234247850844
Belltown,10,5,0.3702349593532299
Belltown,11,0,0.4340330767374025
Belltown,11,1,0.46965277303367603
Belltown,11,2,0.4698719063741602
Belltown,11,3,0.463323426635094
Belltown,11,4,0.448668815175341
Belltown,11,5,0.4458756386146662
Belltown,12,0,0.44533896043009524
Belltown,12,1,0.4821470562836259
Belltown,12,2,0.4824814686725781
Belltown,12,3,0.48183111928881733
Belltown,12,4,0.4648984722545675
Belltown,12,5,0.47343883060891395
Belltown,13,0,0.42897909734087514
Belltown,13,1,0.4661708171593141
Belltown,13,2,0.48125716436325505
Belltown,13,3,0.48621992807542014
Belltown,13,4,0.49033203260442
Belltown,13,5,0.49537973626536475
Belltown,14,0,0.38524968781019997
Belltown,14,1,0.4151074566090313
Belltown,14,2,0.44652518903875693
Belltown,14,3,0.43805022881254363
Belltown,14,4,0.44405526556836733
Belltown,14,5,0.48765102848906194
Belltown,15,0,0.3429119203271503
Belltown,15,1,0.3612785612165749
Belltown,15,2,0.3985195120189656
Belltown,15,3,0.38656609259746577
Belltown,15,4,0.3995458535725975
Belltown,15,5,0.4911486362174933
Belltown,16,0,0.3232150403161977
Belltown,16,1,0.3485287662987258
Belltown,16,2,0.4001304763934551
Belltown,16,3,0.3769599632018347
Belltown,16,4,0.41392933977659374
Belltown,16,5,0.4954620977942343
Belltown,17,0,0.3239871705139862
Belltown,17,1,0.36391771365541126
Belltown,17,2,0.41251783876145415
Belltown,17,3,0.38631434472247955
Belltown,17,4,0.4437018030148269
Belltown,17,5,0.5142227631930635
Belltown,18,0,0.33764776328048085
Belltown,18,1,0.40362158031436185
Belltown,18,2,0.4552806608866686
Belltown,18,3,0.4213023255627544
Belltown,18,4,0.4999734597195523
Belltown,18,5,0.5238812510571018
Belltown,19,0,0.3141199040996038
Belltown,19,1,0.40288018332963005
Belltown,19,2,0.4723945801301321
Belltown,19,3,0.42360026543381807
Belltown,19,4,0.5256519709588983
Belltown,19,5,0.5187327506885991
Capitol Hill,8,0,0.12829964108126563
Capitol Hill,8,1,0.1061946265250032
Capitol Hill,8,2,0.10811587845810247
Capitol Hill,8,3,0.11323765935700819
Capitol Hill,8,4,0.11644528131098865
Capitol Hill,8,5,0.10088570181489667
Capitol Hill,9,0,0.20866037863929104
Capitol Hill,9,1,0.18094065602554688
Capitol Hill,9,2,0.17017671442683713
Capitol Hill,9,3,0.19689411746415308
Capitol Hill,9,4,0.20921563217190486
Capitol Hill,9,5,0.19182339181120275
Capitol Hill,10,0,0.2871087508272538
Capitol Hill,10,1,0.2648450853175086
Capitol Hill,10,2,0.24305936478947618
Capitol Hill,10,3,0.2993350943514035
Capitol Hill,10,4,0.27460583461462723
Capitol Hill,10,5,0.3092146143225973
Capitol Hill,11,0,0.3009185541645805
Capitol Hill,11,1,0.29132356874109605
Capitol Hill,11,2,0.2714569264071956
Capitol Hill,11,3,0.3037320483611509
Capitol Hill,11,4,0.3589258678204002
Capitol Hill,11,5,0.4021137879539293
Capitol Hill,12,0,0.32350392245759424
Capitol Hill,12,1,0.29604239785777503
Capitol Hill,12,2,0.3047924463353028
Capitol Hill,12,3,0.33597389675865214
Capitol Hill,12,4,0.3721157041523851
Capitol Hill,12,5,0.4407431259851057
Capitol Hill,13,0,0.3126402477854155
Capitol Hill,13,1,0.3014283713553081
Capitol Hill,13,2,0.31839026209505683
Capitol Hill,13,3,0.31478271965015575
Capitol Hill,13,4,0.36661118254928016
Capitol Hill,13,5,0.4846005241414916
Capitol Hill,14,0,0.31274554030838514
Capitol Hill,14,1,0.279290245197431
Capitol Hill,14,2,0.29557361252943953
Capitol Hill,14,3,0.2733833915485814
Capitol Hill,14,4,0.3090215810545287
Capitol Hill,14,5,0.47902190929335464
Capitol Hill,15,0,0.2522887013666991
Capitol Hill,15,1,0.24240887323683646
Capitol Hill,15,2,0.23205516662379658
Capitol Hill,15,3,0.2354853819059751
Capitol Hill,15,4,0.28116051313941054
Capitol Hill,15,5,0.3837046889590951
Capitol Hill,16,0,0.20151444299457327
Capitol Hill,16,1,0.24491655493141704
Capitol Hill,16,2,0.22294421884579368
Capitol Hill,16,3,0.23448709895453657
Capitol Hill,16,4,0.27142486921306486
Capitol Hill,16,5,0.38362281794048037
Capitol Hill,17,0,0.28200312669763355
Capitol Hill,17,1,0.2700919201090274
Capitol Hill,17,2,0.30233342990090994
Capitol Hill,17,3,0.2547576800401242
Capitol Hill,17,4,0.3221868262653285
Capitol Hill,17,5,0.41835091282696596
Capitol Hill,18,0,0.34275651451415584
Capitol Hill,18,1,0.3883100233527288
Capitol Hill,18,2,0.3775987448459223
Capitol Hill,18,3,0.35058233534053534
Capitol Hill,18,4,0.4151688052402445
Capitol Hill,18,5,0.4574548730248173
Capitol Hill,19,0,0.36211792491404604
Capitol Hill,19,1,0.48504699011679786
Capitol Hill,19,2,0.45359410649982507
Capitol Hill,19,3,0.4426382397905907
Capitol Hill,19,4,0.4967188711560181
Capitol Hill,19,5,0.47350029917700825
Capitol Hill,20,0,0.30634720810175353
Capitol Hill,20,1,0.4086636370821328
Capitol Hill,20,2,0.4100647799942037
Capitol Hill,20,3,0.4069915656947607
Capitol Hill,20,4,0.4663786009319493
Capitol Hill,20,5,0.46569407041762945
Capitol Hill,21,0,0.20967947425690753
Capitol Hill,21,1,0.24911546182517466
Capitol Hill,21,2,0.2741574443623413
Capitol Hill,21,3,0.2637753097795731
Capitol Hill,21,4,0.35066725046940267
Capitol Hill,21,5,0.36201800124399247
Cherry Hill,8,0,0.12102826510721247
Cherry Hill,8,1,0.15423732943469784
Cherry Hill,8,2,0.1480799967026051
Cherry Hill,8,3,0.10165367121507472
Cherry Hill,8,4,0.13046458739441194
Cherry Hill,8,5,0.03257575757575758
Cherry Hill,9,0,0.15719054580896685
Cherry Hill,9,1,0.19188027940220923
Cherry Hill,9,2,0.1847579261371136
Cherry Hill,9,3,0.19301250812215723
Cherry Hill,9,4,0.1609551656920078
Cherry Hill,9,5,0.06735690235690235
Cherry Hill,10,0,0.16167478882391162
Cherry Hill,10,1,0.21819282001299545
Cherry Hill,10,2,0.17837754525664765
Cherry Hill,10,3,0.21240740740740738
Cherry Hill,10,4,0.16040692007797272
Cherry Hill,10,5,0.06567460628720335
Cherry Hill,11,0,0.19643031189083823
Cherry Hill,11,1,0.18444282001299542
Cherry Hill,11,2,0.20909077325286682
Cherry Hill,11,3,0.20198261858349575
Cherry Hill,11,4,0.19680799220272904
Cherry Hill,11,5,0.06716640085061137
Cherry Hill,12,0,0.14642300194931776
Cherry Hill,12,1,0.14565058479532164
Cherry Hill,12,2,0.2152680311890838
Cherry Hill,12,3,0.18882716049382717
Cherry Hill,12,4,0.15644493177387914
Cherry Hill,12,5,0.06502215133794081
Cherry Hill,13,0,0.2084511046133853
Cherry Hill,13,1,0.14760233918128654
Cherry Hill,13,2,0.22058726901927875
Cherry Hill,13,3,0.2193591617933723
Cherry Hill,13,4,0.1997685185185185
Cherry Hill,13,5,0.06186172916975333
Cherry Hill,14,0,0.21858187134502924
Cherry Hill,14,1,0.12016325536062378
Cherry Hill,14,2,0.22967225825358972
Cherry Hill,14,3,0.20379467186484732
Cherry Hill,14,4,0.20344704353476284
Cherry Hill,14,5,0.05418305865674287
Cherry Hill,15,0,0.13364197530864197
Cherry Hill,15,1,0.11398797920727745
Cherry Hill,15,2,0.24937651560453414
Cherry Hill,15,3,0.14914717348927875
Cherry Hill,15,4,0.2015683885640026
Cherry Hill,15,5,0.04346801346801346
Cherry Hill,16,0,0.12727988953866146
Cherry Hill,16,1,0.08824398960363872
Cherry Hill,16,2,0.18684455469270453
Cherry Hill,16,3,0.07328216374269005
Cherry Hill,16,4,0.11421052631578947
Cherry Hill,16,5,0.03737373737373737
Cherry Hill,17,0,0.10115497076023393
Cherry Hill,17,1,0.07305230669265757
Cherry Hill,17,2,0.08240161709530695
Cherry Hill,17,3,0.07403102664067576
Cherry Hill,17,4,0.061032326185834956
Cherry Hill,17,5,0.033905723905723904
Cherry Hill,18,0,0.05468810916179337
Cherry Hill,18,1,0.06449642625081221
Cherry Hill,18,2,0.051341780376868096
Cherry Hill,18,3,0.037210851202079266
Cherry Hill,18,4,0.06152777777777777
Cherry Hill,18,5,0.03707070707070707
Cherry Hill,19,0,0.04909844054580897
Cherry Hill,19,1,0.039775828460038985
Cherry Hill,19,2,0.07359324236517219
Cherry Hill,19,3,0.053049057829759584
Cherry Hill,19,4,0.07888888888888888
Cherry Hill,19,5,0.04242424242424243
Chinatown/ID,8,0,0.07309313338587764
Chinatown/ID,8,1,0.08155846955882569
Chinatown/ID,8,2,0.05437269593914804
Chinatown/ID,8,3,0.060249545207878535
Chinatown/ID,8,4,0.06970277216715963
Chinatown/ID,8,5,0.047600688683279296
Chinatown/ID,9,0,0.13047887424144608
Chinatown/ID,9,1,0.15095516096228348
Chinatown/ID,9,2,0.11026450744111241
Chinatown/ID,9,3,0.1269900656241236
Chinatown/ID,9,4,0.1212947024485486
Chinatown/ID,9,5,0.16183777155810197
Chinatown/ID,10,0,0.1832463119442286
Chinatown/ID,10,1,0.1827160971480772
Chinatown/ID,10,2,0.16908806253131275
Chinatown/ID,10,3,0.1864032438978091
Chinatown/ID,10,4,0.19924783813316577
Chinatown/ID,10,5,0.33398682536210733
Chinatown/ID,11,0,0.21664656922738817
Chinatown/ID,11,1,0.21681263313029694
Chinatown/ID,11,2,0.2177929597838393
Chinatown/ID,11,3,0.2064860337595845
Chinatown/ID,11,4,0.2521978356664966
Chinatown/ID,11,5,0.4576787702839217
Chinatown/ID,12,0,0.26315046178013135
Chinatown/ID,12,1,0.27708784356932503
Chinatown/ID,12,2,0.289401163611981
Chinatown/ID,12,3,0.2661156993838153
Chinatown/ID,12,4,0.3383905366686705
Chinatown/ID,12,5,0.5041622942144124
Chinatown/ID,13,0,0.2596785610488915
Chinatown/ID,13,1,0.2534802731561991
Chinatown/ID,13,2,0.303950496085152
Chinatown/ID,13,3,0.28251383298665905
Chinatown/ID,13,4,0.3314235886119789
Chinatown/ID,13,5,0.5056950478765324
Chinatown/ID,14,0,0.23194146776222924
Chinatown/ID,14,1,0.21775125541863433
Chinatown/ID,14,2,0.2585487185239103
Chinatown/ID,14,3,0.2551228895902809
Chinatown/ID,14,4,0.27466392146947705
Chinatown/ID,14,5,0.4758890769730516
Chinatown/ID,15,0,0.19050858092524758
Chinatown/ID,15,1,0.1621059672626624
Chinatown/ID,15,2,0.2039432086985586
Chinatown/ID,15,3,0.19378059433856534
Chinatown/ID,15,4,0.23512592536987123
Chinatown/ID,15,5,0.40977642550434457
Chinatown/ID,16,0,0.17269883712232847
Chinatown/ID,16,1,0.1473406110087022
Chinatown/ID,16,2,0.21067094375001566
Chinatown/ID,16,3,0.17329901238053413
Chinatown/ID,16,4,0.23092504539619924
Chinatown/ID,16,5,0.36686702148120504
Chinatown/ID,17,0,0.25448425463691265
Chinatown/ID,17,1,0.24363344263629166
Chinatown/ID,17,2,0.27776581984241744
Chinatown/ID,17,3,0.26338630203666435
Chinatown/ID,17,4,0.30501452066979134
Chinatown/ID,17,5,0.42492964042103465
Chinatown/ID,18,0,0.387562719980105
Chinatown/ID,18,1,0.3670916285624263
Chinatown/ID,18,2,0.4370779330605552
Chinatown/ID,18,3,0.3901777005200918
Chinatown/ID,18,4,0.47077417181583847
Chinatown/ID,18,5,0.5008946206646488
Chinatown/ID,19,0,0.3937370576289398
Chinatown/ID,19,1,0.3813913274917548
Chinatown/ID,19,2,0.472780108380446
Chinatown/ID,19,3,0.41111437388430144
Chinatown/ID,19,4,0.475390266125665
Chinatown/ID,19,5,0.5124482790536851
Columbia City,8,0,0.0679525602727357
Columbia City,8,1,0.07419559631401737
Columbia City,8,2,0.12530820177607468
Columbia City,8,3,0.10755591419626508
Columbia City,8,4,0.12326616625739432
Columbia City,8,5,0.11036551343446654
Columbia City,9,0,0.15727105642895117
Columbia City,9,1,0.1582044906036134
Columbia City,9,2,0.2009223193827515
Columbia City,9,3,0.19065135270837025
Columbia City,9,4,0.2374049201286043
Columbia City,9,5,0.2652918322780083
Columbia City,10,0,0.2501241867294499
Columbia City,10,1,0.2640275689223058
Columbia City,10,2,0.23048429482700344
Columbia City,10,3,0.26553118697416944
Columbia City,10,4,0.30499894517438375
Columbia City,10,5,0.34974090613815356
Columbia City,11,0,0.27217003156038244
Columbia City,11,1,0.30731378741466464
Columbia City,11,2,0.29703344071170124
Columbia City,11,3,0.2960646523716699
Columbia City,11,4,0.34666154865277665
Columbia City,11,5,0.387838578834663
Columbia City,12,0,0.2593654464443938
