timestamp,region,temperature,precipitation,wind_speed,elevation
2026-08-19 18:00:00,Capitol Hill,25.1,0.0,2.4722222222222223,104.0
2026-08-19 19:00:00,Capitol Hill,23.7,0.0,3.5,104.0
2026-08-19 20:00:00,Capitol Hill,21.6,0.0,3.861111111111111,104.0
2026-08-19 21:00:00,Capitol Hill,19.8,0.0,3.2499999999999996,104.0
2026-08-19 22:00:00,Capitol Hill,18.4,0.0,3.0555555555555554,104.0
2026-08-19 23:00:00,Capitol Hill,17.4,0.0,3.555555555555556,104.0
2026-08-19 00:00:00,Ballard,16.9,0.0,1.0555555555555556,18.0
2026-08-19 01:00:00,Ballard,16.8,0.0,0.75,18.0
2026-08-19 02:00:00,Ballard,16.2,0.0,0.6111111111111112,18.0
2026-08-19 03:00:00,Ballard,15.4,0.0,1.4444444444444444,18.0
2026-08-19 04:00:00,Ballard,14.7,0.0,2.2222222222222223,18.0
2026-08-19 05:00:00,Ballard,13.7,0.0,2.3333333333333335,18.0
2026-08-19 06:00:00,Ballard,13.4,0.0,2.1666666666666665,18.0
2026-08-19 07:00:00,Ballard,13.6,0.0,2.5555555555555554,18.0
2026-08-19 08:00:00,Ballard,14.4,0.0,2.138888888888889,18.0
2026-08-19 09:00:00,Ballard,15.5,0.0,1.9444444444444444,18.0
2026-08-19 10:00:00,Ballard,16.8,0.0,1.6944444444444442,18.0
2026-08-19 11:00:00,Ballard,18.3,0.0,1.472222222222222,18.0
2026-08-19 12:00:00,Ballard,19.9,0.0,0.8055555555555555,18.0
2026-08-19 13:00:00,Ballard,21.7,0.0,1.1666666666666667,18.0
2026-08-19 14:00:00,Ballard,23.2,0.0,1.1944444444444444,18.0
2026-08-19 15:00:00,Ballard,24.3,0.0,1.472222222222222,18.0
2026-08-19 16:00:00,Ballard,24.8,0.0,2.0833333333333335,18.0
2026-08-19 17:00:00,Ballard,25.7,0.0,1.9444444444444444,18.0
2026-08-19 18:00:00,Ballard,24.7,0.0,3.2777777777777777,18.0
2026-08-19 19:00:00,Ballard,22.7,0.0,4.305555555555555,18.0
2026-08-19 20:00:00,Ballard,20.7,0.0,4.555555555555555,18.0
2026-08-19 21:00:00,Ballard,18.8,0.0,4.25,18.0
2026-08-19 22:00:00,Ballard,17.7,0.0,4.222222222222222,18.0
2026-08-19 23:00:00,Ballard,16.7,0.0,4.555555555555555,18.0
2026-08-19 00:00:00,International District,18.5,0.0,0.4722222222222222,6.0
2026-08-19 01:00:00,International District,18.1,0.0,1.0,6.0
2026-08-19 02:00:00,International District,17.1,0.0,2.4444444444444446,6.0
2026-08-19 03:00:00,International District,15.8,0.0,2.694444444444444,6.0
2026-08-19 04:00:00,International District,14.8,0.0,2.4166666666666665,6.0
2026-08-19 05:00:00,International District,14.3,0.0,1.8611111111111112,6.0
2026-08-19 06:00:00,International District,14.2,0.0,1.8333333333333333,6.0
2026-08-19 07:00:00,International District,14.6,0.0,2.2222222222222223,6.0
2026-08-19 08:00:00,International District,15.3,0.0,1.8611111111111112,6.0
2026-08-19 09:00:00,International District,16.2,0.0,1.6388888888888888,6.0
2026-08-19 10:00:00,International District,17.5,0.0,1.3611111111111112,6.0
2026-08-19 11:00:00,International District,18.7,0.0,1.2222222222222223,6.0
2026-08-19 12:00:00,International District,20.5,0.0,0.8333333333333333,6.0
2026-08-19 13:00:00,International District,22.2,0.0,1.3055555555555556,6.0
2026-08-19 14:00:00,International District,23.5,0.0,1.6388888888888888,6.0
2026-08-19 15:00:00,International District,24.6,0.0,1.7222222222222223,6.0
2026-08-19 16:00:00,International District,25.3,0.0,2.138888888888889,6.0
2026-08-19 17:00:00,International District,26.2,0.0,1.8888888888888888,6.0
2026-08-19 18:00:00,International District,25.8,0.0,2.4722222222222223,6.0
2026-08-19 19:00:00,International District,24.4,0.0,3.5,6.0
2026-08-19 20:00:00,International District,22.3,0.0,3.861111111111111,6.0
2026-08-19 21:00:00,International District,20.5,0.0,3.2499999999999996,6.0
2026-08-19 22:00:00,International District,19.1,0.0,3.0555555555555554,6.0
2026-08-19 23:00:00,International District,18.1,0.0,3.555555555555556,6.0
