blockfacename,paidparkingarea,paidparkingsubarea,lat,lon,spaces,time_limit,n_meters
1ST AVE BETWEEN BATTERY ST AND WALL ST,Belltown,North,47.61443213,-122.34830948000001,14,240.0,2
1ST AVE BETWEEN BELL ST AND BATTERY ST,Belltown,North,47.61376928999999,-122.347182825,13,240.0,2
1ST AVE BETWEEN BLANCHARD ST AND BELL ST,Belltown,South,47.613000715,-122.34587985,25,120.0,2
1ST AVE BETWEEN BROAD ST AND EAGLE ST,Belltown,North,47.61738742,-122.3531291,7,240.0,1
1ST AVE BETWEEN CEDAR ST AND CLAY ST,Belltown,North,47.616091215,-122.351105735,10,240.0,2
1ST AVE BETWEEN CHERRY ST AND COLUMBIA ST,Pioneer Square,Core,47.602910705,-122.33460311,11,120.0,2
1ST AVE BETWEEN CLAY ST AND BROAD ST,Belltown,North,47.616647775000004,-122.352048,13,240.0,2
1ST AVE BETWEEN COLUMBIA ST AND MARION ST,Commercial Core,Waterfront,47.603635815000004,-122.335250965,9,120.0,2
1ST AVE BETWEEN LENORA ST AND BLANCHARD ST,Belltown,South,47.612235255,-122.34458839999999,18,120.0,2
1ST AVE BETWEEN MADISON ST AND SPRING ST,Commercial Core,Waterfront,47.60501765,-122.3366575,5,30.0,1
1ST AVE BETWEEN PIKE ST AND PINE ST,Commercial Core,Retail,47.60935161,-122.3403749,7,120.0,1
1ST AVE BETWEEN PINE ST AND STEWART ST,Commercial Core,Retail,47.61008545,-122.34104628,3,120.0,1
1ST AVE BETWEEN SENECA ST AND UNIVERSITY ST,Commercial Core,Retail,47.60647145,-122.337883365,14,120.0,2
1ST AVE BETWEEN SPRING ST AND SENECA ST,Commercial Core,Waterfront,47.60575515,-122.33720854,14,120.0,2
1ST AVE BETWEEN STEWART ST AND VIRGINIA ST,Belltown,South,47.610683429999995,-122.341961725,19,120.0,2
1ST AVE BETWEEN UNION ST AND PIKE ST,Commercial Core,Retail,47.608324565000004,-122.339559375,8,120.0,2
1ST AVE BETWEEN UNIVERSITY ST AND UNION ST,Commercial Core,Retail,47.60731898,-122.338656325,15,120.0,2
1ST AVE BETWEEN VINE ST AND CEDAR ST,Belltown,North,47.615535115,-122.35016851500001,12,240.0,2
1ST AVE BETWEEN VIRGINIA ST AND LENORA ST,Belltown,South,47.611469625,-122.34327540999999,15,120.0,2
1ST AVE BETWEEN WALL ST AND VINE ST,Belltown,North,47.61504371,-122.34916205,6,240.0,1
1ST AVE BETWEEN WARREN PL AND BAY ST,Belltown,North,47.61823252,-122.35456852,7,240.0,1
1ST AVE BETWEEN YESLER WAY AND CHERRY ST,Pioneer Square,Core,47.60215991,-122.334176805,16,120.0,2
1ST AVE N BETWEEN DENNY WAY AND JOHN ST,Uptown,,47.61918751,-122.35536309,5,240.0,1
1ST AVE N BETWEEN HARRISON ST AND REPUBLICAN ST,Uptown,,47.62268904,-122.35550455,7,240.0,1
1ST AVE N BETWEEN JOHN ST AND THOMAS ST,Uptown,,47.6203434,-122.35535352,7,240.0,1
1ST AVE N BETWEEN MERCER ST AND ROY ST,Uptown,,47.62502233,-122.35546524,5,120.0,1
1ST AVE N BETWEEN REPUBLICAN ST AND MERCER ST,Uptown,,47.62391394,-122.35540734,19,240.0,2
1ST AVE N BETWEEN THOMAS ST AND HARRISON ST,Uptown,,47.62151977,-122.35551415,12,240.0,1
1ST AVE NE BETWEEN WOODLAWN S AVE NE AND EAST GREEN LAKE WAY N,Green Lake,,47.677910325,-122.328313365,10,120.0,2
1ST AVE S BETWEEN S CHARLES ST AND S ROYAL BROUGHAM WAY,Pioneer Square,Edge,47.594043505,-122.33419835000001,50,120.0,2
1ST AVE S BETWEEN S DEARBORN ST AND S CHARLES ST,Pioneer Square,Edge,47.59607622,-122.33418306,13,120.0,2
1ST AVE S BETWEEN S JACKSON ST AND S KING ST,Pioneer Square,Edge,47.598737334999996,-122.334187665,14,120.0,2
1ST AVE S BETWEEN S KING ST AND S DEARBORN ST,Pioneer Square,Edge,47.597367875,-122.33419173,39,120.0,2
1ST AVE S BETWEEN S MAIN ST AND S JACKSON ST,Pioneer Square,Core,47.59962452,-122.334182435,17,120.0,2
1ST AVE S BETWEEN S WASHINGTON ST AND S MAIN ST,Pioneer Square,Core,47.60046712,-122.33418322,17,120.0,2
1ST AVE S BETWEEN YESLER WAY AND S WASHINGTON ST,Pioneer Square,Core,47.60129456,-122.33418009,18,120.0,2
1ST AVE W BETWEEN W HARRISON ST AND W REPUBLICAN ST,Uptown,,47.622698729999996,-122.35802656,13,240.0,2
1ST AVE W BETWEEN W JOHN ST AND W THOMAS ST,Uptown,,47.62036552,-122.35804046,19,240.0,2
1ST AVE W BETWEEN W MERCER ST AND W ROY ST,Uptown,,47.62515306,-122.35809341,4,240.0,1
1ST AVE W BETWEEN W REPUBLICAN ST AND W MERCER ST,Uptown,,47.623922105,-122.358011925,25,120.0,2
1ST AVE W BETWEEN W THOMAS ST AND W HARRISON ST,Uptown,,47.621510705000006,-122.358039985,20,240.0,2
1ST AVE W BETWEEN WESTERN AVE W AND W JOHN ST,Uptown,,47.619422924999995,-122.35805574,6,240.0,2
20TH AVE NW BETWEEN NW MARKET ST AND NW 56TH ST,Ballard,Edge,47.66906738,-122.38212831,7,240.0,2
20TH AVE NW BETWEEN RUSSELL AVE NW AND NW MARKET ST,Ballard,Edge,47.668315050000004,-122.382130495,12,240.0,2
22ND AVE NW BETWEEN BALLARD AVE NW AND NW MARKET ST,Ballard,Core,47.66818396,-122.384745545,16,120.0,2
22ND AVE NW BETWEEN NW 56TH ST AND NW 57TH ST,Ballard,Edge,47.669836384999996,-122.38474056000001,11,240.0,2
22ND AVE NW BETWEEN NW 57TH ST AND NW 58TH ST,Ballard,Edge,47.67054627,-122.3847959,5,240.0,1
22ND AVE NW BETWEEN NW MARKET ST AND NW 56TH ST,Ballard,Core,47.66908539,-122.38474400999999,8,120.0,2
22ND AVE NW BETWEEN SHILSHOLE AVE NW AND BALLARD AVE NW,Ballard,Edge,47.66714456,-122.38474335000001,16,240.0,2
24TH AVE NW BETWEEN NW 56TH ST AND NW 57TH ST,Ballard,Edge,47.66983204,-122.38746554,1,240.0,1
24TH AVE NW BETWEEN NW 57TH ST AND NW 58TH ST,Ballard,Edge,47.670550335,-122.387587345,10,240.0,2
24TH AVE NW BETWEEN NW 58TH ST AND NW 59TH ST,Ballard,Edge,47.67127935,-122.387587305,10,240.0,2
24TH AVE NW BETWEEN NW 59TH ST AND NW 60TH ST,Ballard,Edge,47.67200823,-122.38746542,5,240.0,1
